customer_id,session_id,search_id,merchant_uuid,event_date,restaurant_position,eta_in_minutes,distance,rating,search_label,day_of_week,hour,booking_label,clicked_label,cuisine_orders_24_weeks,cuisine_orders_4_weeks,cuisine_visits_4_weeks,search_query,breakfast_meals,merchant_lunch_bookings,merchant_afternoon_bookings,merchant_dinner_bookings,merchant_midnight_snack_bookings,daily_orders_avg_4wk,customer_brand_visits_4wk,customer_brand_orders_4wk,customer_brand_orders_24wk,days_since_last_order,int_order_count_24weeks,int_order_count_4weeks,int_merchant_visits_4weeks,cust_total_orders_6months,cust_orders_uniq_restaurants_6months,cust_orders_dist_avg_6months,cust_orders_dist_std_6months,cust_orders_dist_median_6months,cust_orders_dist_perc_75_6months,cust_orders_dist_perc_90_6months,cust_orders_gbv_avg_6months,cust_orders_gbv_std_6months,cust_orders_price_median_6months,cust_orders_price_perc_75_6months,cust_orders_price_perc_90_6months,jakarta_week_start_date,lifetime_avg_basket_size,weekday_completed_order,weekend_completed_order,lifetime_total_normalized_gmv,total_voucher_transaction_percentage,average_customer_tenure_age_in_day,image_menu_item_percentage,active_item_with_image_count,active_item_count,average_feedback_rating,booking_completion_rate_percentage,event_month,overall_engagement_level,involvement_engagement_level,interaction_engagement_level,intimacy_engagement_level,last_order_days_since_epoch,last_visit_days_since_epoch
697618679,4cbe483e-1465-40bf-8eb3-65f35847231b,168f137d-9e29-4923-8be5-9069e837f379,0064aa5d-d0fa-49fe-8025-032e8a23445f,2022-11-03,3,27,1.5,4.5,0,5,16,0,0,,,,BRAND,48.0,74.0,81.0,101.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,2022-10-31,123230.432815563,54,24,761308000.0,0.434902151,403,1,53,53,,0.932438546,,,,,,,
548555263,589b0794-c969-41bf-80db-d89178e1720b,1001e301-1ca2-4f8d-880d-d4bedb52bbc9,8062de23-6b2a-4b5e-be9b-2821e4abd5e3,2022-11-03,5,19,1.1,0.0,0,5,14,0,0,,,,NEAR_ME,1.0,8.0,6.0,8.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,2022-10-31,26933.333333333,7,0,1328500.0,0.2,333,0.3875,31,80,,0.5,2022-10-01,Moderate,Low,Moderate,Low,,
686204148,4e46b74b-f0e4-4134-8e2d-c87fc38c9470,def34e16-0c79-4e09-966c-d2eda398cea0,2e3a6b46-a1ca-4fd2-a106-b0a143082b85,2022-11-03,7,25,1.3,0.0,0,5,23,0,0,,,,NEAR_ME,0.0,0.0,0.0,9.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,2022-10-31,45524.590163934,2,1,2064000.0,0,177,1,12,12,,0.672131148,2022-10-01,Moderate,Moderate,Low,Low,,
686794860,da47d8a7-f838-451f-8675-f7946dda8589,604ff606-f783-4292-90f3-9b85e3fa41cf,691d9feb-68b9-4e9b-a2ce-ce316309e964,2022-11-03,1,26,1.7,4.5,0,5,9,2,0,,,,BRAND,80.0,290.0,227.0,308.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,2022-10-31,79319.9438699,174,98,6826222711.0,0.286687196,1614,1,92,92,4.84823329076202,0.816798398,,,,,,,
786490579,36A9349E-1AC5-4499-A4B4-BEF6610FE114,9eec4f39-f749-4b3b-afd2-ad9e1965b1cf,19fd6c7c-06b8-411e-8107-c542c23c486c,2022-11-03,13,31,2.8,4.4,0,5,23,0,0,,,,NEAR_ME,20.0,38.0,12.0,51.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,2022-10-31,45465.0,17,5,10312500.0,0.01754386,52,0.948051948,73,77,,0.95,2022-10-01,Low,Low,Non-engaged,Non-engaged,,
785463795,3f2a9b73-ab9d-4f45-974d-7c0b2852952b,50245921-19d2-4a9b-b89e-39fd98f16543,86a621e7-b258-4ed5-9c7c-38515458c205,2022-11-03,6,32,6.1,0.0,0,5,20,0,0,,,,NEAR_ME,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,2022-10-31,46631.428571429,2,0,0.0,0,152,0.764705882,52,68,,0,2022-10-01,Moderate,Moderate,Low,Low,,
786879513,1c1ba7a4-6ab2-4bec-b787-611a7ce80984,8a2b3827-2eb9-4b95-ac5e-641c8445b529,47c9741a-6864-494d-ab98-6d01eea7d70f,2022-11-03,33,17,0.6,4.6,0,5,20,0,0,,,,MARKDOWN,0.0,18.0,3.0,13.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,2022-10-31,30067.406486006,2,2,59587208.0,0.260030472,1481,0.935483871,29,31,4.833333333333333,0.874722346,,,,,,,
673249289,b1dedb57-d018-4e3f-95a5-a9a88ba428e9,70231921-66d7-4c5c-a8f1-5ea3484616ba,a57d4195-46c0-405e-ac8a-aea151ddd723,2022-11-03,31,21,0.9,0.0,0,5,0,0,0,,,,MKD_CORRIDOR_2_GS,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-31,27000.0,0,0,15000.0,0,867,1,1,1,,0.25,2022-10-01,Low,Low,Low,Low,,
705418345,4d51584d-3a2f-4835-b4a7-8b9211a9de71,b77a5807-bd25-4923-995f-121d7389947a,1d0da1a0-15c9-4720-acfa-398f8927a08e,2022-11-03,3,17,0.7,4.7,0,5,18,0,0,,,,ANEKA_AYAM_BEBEK,163.0,294.0,187.0,375.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,2022-10-31,40476.549717584,242,94,1233953245.0,0.281436337,1228,1,108,108,,0.942058221,2022-10-01,Low,Low,Non-engaged,Low,,
566292460,f0322f09-cde0-4b6d-a250-edf81a3bfd07,55784ab9-9982-4b38-a15d-e4f401595ba7,7bca6030-a84b-421a-827b-78558573129b,2022-11-03,20,24,2.1,4.6,0,5,12,0,0,,,,NEAR_ME,1.0,10.0,2.0,7.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,2022-10-31,34094.582850521,2,2,42990750.0,0.208236208,1283,0.736842105,28,38,,0.745654693,,,,,,,
786810100,610BE40B-F7F4-432D-BF61-381178F28E5E,dc036dbe-b27d-49e7-a4cd-d9d506c4626e,c544c3f2-f7fa-4811-aace-500b60fa0bfe,2022-11-03,6,28,1.0,4.6,0,5,1,0,0,,,,NEAR_ME,5.0,9.0,11.0,11.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,2022-10-31,72345.379537954,10,5,30554800.0,0.156626506,256,0.938461538,61,65,,0.684818482,,,,,,,
